"vln"|"muni"|"year"|"d_CCJ"|"d_EQU"|"d_FON"|"d_IMLD"|"d_PN0"|"d_CIN"|"d_FAM"|"d_FSR"|"d_IMLM"|"d_VP"|"d_CCE"|"d_CTI"|"d_FDC"|"d_GAU"|"d_PL"|"Freq"
"kill"|"SACAMA"|1998|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|5
"kill"|"TAMARA"|1998|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
"kill"|"RECETOR"|1998|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
"disp"|"RECETOR"|1998|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1
"disp"|"RECETOR"|1998|0|0|1|0|0|0|0|1|0|0|0|0|0|1|0|1
"kill"|"YOPAL"|1998|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1
"kill"|"YOPAL"|1998|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1
"kill"|"YOPAL"|1998|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|1
"kill"|"YOPAL"|1998|0|0|1|0|0|0|0|0|1|0|0|0|0|1|0|1
"disp"|"YOPAL"|1998|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|15
"disp"|"YOPAL"|1998|0|0|1|0|0|0|0|1|0|0|0|0|0|1|0|1
"kill"|"TAURAMENA"|1998|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1
"disp"|"TAURAMENA"|1998|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|2
"disp"|"TAURAMENA"|1998|0|0|1|0|0|0|0|1|0|0|0|0|1|1|0|1
"kill"|"AGUAZUL"|1998|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1
"kill"|"AGUAZUL"|1998|1|0|0|0|0|1|0|0|0|0|0|0|1|0|0|1
"kill"|"AGUAZUL"|1998|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|3
"disp"|"AGUAZUL"|1998|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|4
"disp"|"AGUAZUL"|1998|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|2
"disp"|"AGUAZUL"|1998|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|3
"disp"|"AGUAZUL"|1998|1|0|0|0|0|0|1|0|0|0|0|0|1|0|0|1
"disp"|"AGUAZUL"|1998|0|0|1|0|0|0|0|1|0|0|0|0|0|1|0|1
"disp"|"AGUAZUL"|1998|0|0|1|0|0|1|0|1|0|0|0|0|0|1|0|1
"disp"|"AGUAZUL"|1998|0|0|1|0|0|0|0|0|0|0|0|0|1|1|0|1
"kill"|"MONTERREY"|1998|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|2
"disp"|"VILLANUEVA"|1998|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1
"disp"|"VILLANUEVA"|1998|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1
"kill"|"MANI"|1998|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|1
"disp"|"MANI"|1998|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|2
